번호,통화일시,신고내역(위치),동물종
232,2021-08-11 15:34,"새끼고양이 사체 두마리 , 한국전력공사 강릉지사 가는길 새마을금고 은행 사이에 두마리 있었음",고양이
233,2021-08-12 08:31,7번국도주문진~강릉방향 농공단지 빠지는길 조금 지나서 로드킬있음.,불명
234,2021-08-12 14:06, 비둘기 사체 - 강릉 국빈 중화식당 근처  국빈 근처 쓰레기통있는곳 . 길가 라인에 있음. ,비둘기
235,2021-08-12 18:20,교동 한길dc마트 바로앞에 고양이로드킬신고,고양이
236,2021-08-13 09:09,[로드킬] 고양이 사체 제일고 앞 버스승강장 바로 ,고양이
237,2021-08-13 09:42,"경포오거리~올림픽파크 가다보면 고양골추어탕 가기전 , 새로운 공사중건물앞 횡단보도부근에   고양이사체",고양이
238,2021-08-13 18:11,"고양이 로드킬, 아산병원 생활관앞 도로 고양이 교통사고 ",고양이
239,2021-08-18 15:51,고양이 사체 - 사천요트장-> 해변쪽으로 직진하는곳에 공중화장실 앞쪽,고양이
240,2021-08-18 16:39,[로드킬]강일여고 천일택배앞 강아지 사체,강아지
241,2021-08-18 16:48,"강일여고 교동 올라가는길쪽, 도로에 강아지 사체, 퍼베이드 카페쪽",강아지
242,2021-08-18 16:49,화부산로 70호 강아지가 도로에 사체 신고,강아지
243,2021-08-18 16:53,강일여고 강아지 로드킬 신고 전화를 주심 ,강아지
244,2021-08-18 18:13,강릉불고기 초당점 앞 고양이 로드킬,고양이
245,2021-08-19 08:40,"강릉정보공고, 도요새가 어제부터 교정에 서성대고 있는데 날지못하는것 같음",도요새
246,2021-08-19 16:36,"안목, 솔바람다리 너구리새끼 탈진상태",새끼너구리 
247,2021-08-20 12:36,화부산로8번길 30  고양이사체,고양이
248,2021-08-23 10:24,즈므고가올라가자마자  중앙선부근 고양이사체,고양이
249,2021-08-23 14:21, 비둘기가 추락해서 날지 못해서 연락주심. 옥천동 동부시장길. 에이스게임장 앞,비둘기
250,2021-08-25 10:40,고양이사체 신고포남세차장 (경찰서 4거리에서 경포방향)앞에 있음,고양이
251,2021-08-25 12:48,고라니 사체 신고위치 파악안됨,고라니
252,2021-08-26 09:02,로드킬- 아산병원 들어가는 입구 신호등 가기 조금 전에 왼쪽 가림막쪽 강아지 사체아산병원 들어가는 입구 ,강아지
